id,pred
20000,0.8
20001,0.8
20002,0.2
20003,0.2
20004,0.2
20005,0.2
20006,0.2
20007,0.8
20008,0.8
20009,0.2
20010,0.2
20011,0.2
20012,0.8
20013,0.8
20014,0.8
20015,0.8
20016,0.2
20017,0.2
20018,0.2
20019,0.2
20020,0.2
20021,0.8
20022,0.8
20023,0.2
20024,0.8
20025,0.2
20026,0.8
20027,0.8
20028,0.2
20029,0.2
20030,0.2
20031,0.8
20032,0.8
20033,0.2
20034,0.2
20035,0.8
20036,0.2
20037,0.2
20038,0.8
20039,0.8
20040,0.2
20041,0.8
20042,0.2
20043,0.2
20044,0.2
20045,0.2
20046,0.8
20047,0.2
20048,0.2
20049,0.8
20050,0.8
20051,0.8
20052,0.2
20053,0.8
20054,0.2
20055,0.2
20056,0.2
20057,0.2
20058,0.8
20059,0.2
20060,0.8
20061,0.2
20062,0.2
20063,0.8
20064,0.8
20065,0.8
20066,0.2
20067,0.2
20068,0.8
20069,0.8
20070,0.2
20071,0.2
20072,0.2
20073,0.8
20074,0.2
20075,0.8
20076,0.2
20077,0.8
20078,0.8
20079,0.8
20080,0.2
20081,0.2
20082,0.2
20083,0.8
20084,0.8
20085,0.2
20086,0.8
20087,0.2
20088,0.2
20089,0.8
20090,0.8
20091,0.2
20092,0.8
20093,0.2
20094,0.2
20095,0.2
20096,0.8
20097,0.2
20098,0.2
20099,0.2
20100,0.2
20101,0.2
20102,0.8
20103,0.8
20104,0.8
20105,0.2
20106,0.2
20107,0.8
20108,0.2
20109,0.8
20110,0.8
20111,0.8
20112,0.8
20113,0.2
20114,0.2
20115,0.2
20116,0.2
20117,0.8
20118,0.2
20119,0.2
20120,0.8
20121,0.2
20122,0.2
20123,0.2
20124,0.2
20125,0.2
20126,0.8
20127,0.8
20128,0.8
20129,0.2
20130,0.2
20131,0.8
20132,0.8
20133,0.2
20134,0.2
20135,0.8
20136,0.2
20137,0.2
20138,0.8
20139,0.2
20140,0.2
20141,0.8
20142,0.2
20143,0.2
20144,0.2
20145,0.8
20146,0.2
20147,0.8
20148,0.8
20149,0.2
20150,0.8
20151,0.2
20152,0.2
20153,0.2
20154,0.2
20155,0.8
20156,0.2
20157,0.8
20158,0.8
20159,0.8
20160,0.2
20161,0.2
20162,0.2
20163,0.2
20164,0.8
20165,0.2
20166,0.2
20167,0.8
20168,0.2
20169,0.2
20170,0.2
20171,0.8
20172,0.2
20173,0.2
20174,0.2
20175,0.8
20176,0.2
20177,0.8
20178,0.2
20179,0.2
20180,0.2
20181,0.8
20182,0.8
20183,0.2
20184,0.8
20185,0.8
20186,0.8
20187,0.2
20188,0.8
20189,0.2
20190,0.2
20191,0.8
20192,0.8
20193,0.8
20194,0.2
20195,0.2
20196,0.8
20197,0.2
20198,0.8
20199,0.2
20200,0.8
20201,0.2
20202,0.2
20203,0.8
20204,0.8
20205,0.8
20206,0.2
20207,0.8
20208,0.2
20209,0.8
20210,0.2
20211,0.2
20212,0.8
20213,0.2
20214,0.2
20215,0.8
20216,0.8
20217,0.8
20218,0.8
20219,0.8
20220,0.2
20221,0.2
20222,0.8
20223,0.2
20224,0.2
20225,0.2
20226,0.2
20227,0.8
20228,0.8
20229,0.2
20230,0.8
20231,0.8
20232,0.2
20233,0.8
20234,0.8
20235,0.8
20236,0.2
20237,0.2
20238,0.2
20239,0.2
20240,0.2
20241,0.2
20242,0.8
20243,0.2
20244,0.2
20245,0.8
20246,0.2
20247,0.8
20248,0.8
20249,0.2
20250,0.2
20251,0.8
20252,0.8
20253,0.8
20254,0.8
20255,0.2
20256,0.8
20257,0.2
20258,0.2
20259,0.8
20260,0.8
20261,0.2
20262,0.8
20263,0.2
20264,0.2
20265,0.2
20266,0.2
20267,0.2
20268,0.2
20269,0.2
20270,0.8
20271,0.8
20272,0.2
20273,0.2
20274,0.8
20275,0.2
20276,0.8
20277,0.8
20278,0.8
20279,0.2
20280,0.8
20281,0.2
20282,0.2
20283,0.2
20284,0.8
20285,0.2
20286,0.2
20287,0.8
20288,0.8
20289,0.8
20290,0.8
20291,0.8
20292,0.2
20293,0.2
20294,0.8
20295,0.8
20296,0.8
20297,0.2
20298,0.8
20299,0.8
20300,0.2
20301,0.8
20302,0.2
20303,0.8
20304,0.8
20305,0.8
20306,0.2
20307,0.2
20308,0.2
20309,0.8
20310,0.8
20311,0.2
20312,0.8
20313,0.8
20314,0.8
20315,0.8
20316,0.2
20317,0.8
