Property_ID,Habitability_score
0x6e93,32.46
0x8787,77.32
0x6c17,56.63
0x9dbd,68.98
0xbfde,75.38
0x6a39,75.51
0x47a6,74.95
0x7687,73.47
0x963a,73.7
0xbcbb,72.32
0x4950,62.33
0x316a,73.07
0x6b21,64.1
0x6252,72.47
0xa67f,86.12
0x2cd8,82.08
0x5926,24.07
0x9a42,85.04
0x4b5e,79.19
0x76af,72.55
0xb44b,80.17
0x2e49,65.56
0x83fc,49.18
0x26b1,33.51
0x210b,76.05
0xb384,87.81
0x455e,81.11
0x6ae6,82.75
0x9aff,78.56
0x6916,90.72
0x145a,84.48
0xbfd0,70.9
0x1ffa,72.26
0x9412,91.31
0x9860,77.88
0x690f,94.76
0x80ec,90.42
0x7223,84.67
0xf99,53.07
0x953d,71.29
0x4305,87.59
0x639e,92.22
0x2ba8,73.08
0x8c0c,96.02
0x284b,71.51
0xa832,81.52
0xbeea,86.05
0xaaa7,44.38
0xc702,69.07
0x7817,88.27
0x56d5,73.2
0x3d65,74.1
0x5ed6,85.82
0xc0d4,87.33
0x4abb,12.58
0x4f8e,76.7
0xa4c8,71.2
0x9085,71.24
0xb1aa,78.45
0x3a63,93.22
0x15ac,79.25
0x1066,77.19
0x5ff1,75.97
0x35f3,74.31
0x9dba,70.04
0x78df,72.5
0x3261,90.59
0x5fbc,85.27
0xf3a,83.27
0x5578,91.69
0x8867,98.87
0xfad,68.74
0x8f94,79.25
0x55b9,75.74
0xc320,77.36
0x6cbc,88.61
0x8226,71.63
0xc937,86.78
0x67cb,71.5
0xbbb4,74.43
0xa086,71.55
0x6e13,73.35
0xc633,77.3
0x7d66,73.93
0x62d9,81.03
0x6c54,81.66
0x2194,79.79
0x5af6,79.01
0x1278,90.69
0xeaf,88.25
0xaf6b,59.77
0x6f27,77.26
0x8d0d,63.39
0x6c70,72.2
0x7213,74.93
0x89a6,71.69
0x6543,88.86
0x5d77,80.51
0x2ffd,78.41
0x402c,84.22
0x93df,80.01
0x5162,81.78
0x26e2,83.59
0x6c33,65.73
0x21b6,75.21
0xc799,75.3
0x7011,74.12
0x8018,79.37
0xc73f,70.88
0x7af1,74.8
0x69b8,70.49
0x8a31,83.85
0x9497,85.71
0x9495,71.55
0x488c,63.99
0xbab1,58.11
0x875c,62.47
0x1cdd,74.7
0xc5b0,25.57
0x9eaf,22.53
0x66df,75.79
0x107c,79.71
0x9f1d,77.52
0x9d34,70.93
0x66a9,91.32
0x722a,76.07
0x5e91,79.24
0xd7a,72.2
0xc7be,67.23
0x47f3,42.44
0x1168,84.52
0x8fdc,84.69
0x6aa2,28.8
0x63d3,75.32
0xac28,78.48
0x6d74,61.53
0x411d,63.48
0xbc3a,82.4
0x30b5,76.59
0xab36,74.95
0x1653,57.42
0x2294,27.92
0x90b7,76.05
0x83e0,71.99
0x8d63,77.67
0x3038,88.98
0x7293,68.46
0x7c1a,91.24
0xa43e,89.66
0x4c03,87.47
0xc7fe,76.23
0x7cfd,71.49
0xa4f8,33.54
0x3ff1,72.31
0xa2a8,76.91
0x7656,84.46
0xb226,83.03
0xc443,84.56
0x7d7a,69.24
0x6075,77.97
0x45f2,60.57
0x86f7,71.28
0x121a,90.09
0x5d53,43.11
0xb292,80.35
0x155a,72.11
0xc6bd,71.66
0x9716,83.15
0x1e7e,79.16
0x1b9a,75.82
0x584c,73.38
0x5b83,91.37
0x24db,76.93
0x2a4e,81.96
0x9455,87.25
0x589c,89.43
0x8e04,88.42
0x4420,85.25
0xbb11,76.38
0x7c73,23.59
0x58be,78.34
0xb0dd,72.83
0x254c,68.08
0x532c,70.49
0x79ad,71.87
0x6702,81.39
0x229c,74.92
0x77c7,84.83
0xa3a,73.8
0xa415,76.04
0xa2b1,63.36
0xbe0c,79.38
0x4160,87.1
0xaaf0,73.39
0x95fd,60.71
0x3521,80.8
0x9752,73.65
0x820c,74.23
0xf84,79.79
0x4c8e,67.9
0x132a,81.03
0x668,71.94
0x3d7e,61.99
0xa6f2,80.86
0xb2cf,67.43
0x7408,89.06
0x3105,47.19
0x1e67,93.1
0xb018,58.6
0x37b2,76.91
0x63d9,66.38
0xad38,76.56
0x2625,80.51
0x7686,80.23
0x2cf7,70.8
0xc27a,61.7
0xbeaa,76.6
0x5096,68.11
0x252c,35.97
0x702b,82.45
0x65a0,76.3
0xc5f6,89.18
0x3779,29.58
0xa657,70.62
0x90c8,85.4
0x7a93,77.71
0x6b22,69.77
0x6348,65.32
0x7667,93.92
0x3d11,39.66
0x39a6,78.85
0x21eb,72.64
0xad62,66.72
0x128e,75.93
0x3722,45.06
0x2a7a,70.13
0x7d0d,73.66
0xb6f6,71.6
0x9eb0,74.18
0x8651,74.68
0xad8c,67.12
0x51e6,81.83
0x10da,44.44
0xb3c8,92.45
0x35c7,88.29
0x393a,39.78
